ID,Qual a forma que você faz a maioria das viagens?,Você tem carteira de motorista?,Você tem veículo próprio?,Você costuma usar o transporte público em quais dias?,Como você define sua frequência de uso do transporte público?,"Quantas passagens você usa por dia em suas viagens no transporte público?
",Qual o meio de pagamento você utiliza para pagar pelo transporte?,Qual a principal razão dos seus deslocamentos diários?,Quanto tempo você gasta por dia com transporte?,"Qual a principal razão pela qual você preferiria utilizar outro meio de transporte ao invés do transporte público?

"
387,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Por ser mais confortavél 
388,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
389,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Mais de 4 horas por dia,Levar menos tempo 
390,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
391,Utilizo o transporte público,"Sim, de carro",Não tenho,Aos domigos,Uso duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
392,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso duas vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
393,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
394,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
395,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
396,Utilizo carro ,"Sim, de carro",Tenho,Aos domigos,Uso uma vez por semana,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
397,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso três a quatro vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Me sentir mais  seguro 
398,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
399,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
400,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
401,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
402,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Mais de 4 horas por dia,Levar menos tempo 
403,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
404,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
405,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Por ser mais confortavél 
406,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
407,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Levar menos tempo 
408,Utilizo o transporte público,Não tenho,Não tenho,Aos domigos,Uso uma vez por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Levar menos tempo 
409,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
410,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso três a quatro vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 1 hora e 2 horas,Me sentir mais  seguro 
411,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
412,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
413,Utilizo o transporte público,"Sim, de uma ou mais categorias",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Levar menos tempo 
414,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Trabalho,Entre 3 horas e 4 horas,Levar menos tempo 
415,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
416,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
417,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Me sentir mais  seguro 
418,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
419,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
420,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
421,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
422,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
423,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
424,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
425,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Quero ter um veículo próprio 
426,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
427,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Cartão de transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
428,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
429,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
430,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
431,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
432,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
433,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
434,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Levar menos tempo 
435,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Levar menos tempo 
436,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
437,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
438,"Faço viagens usando aplicativos (uber,99taxis outros...)","Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Mais de 4 horas por dia,Levar menos tempo 
439,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
440,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Me sentir mais  seguro 
441,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 3 horas e 4 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
442,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
443,Utilizo carro ,Não tenho,Não tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
444,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Me sentir mais  seguro 
445,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
446,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
447,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
448,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
449,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
450,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Aos domigos,Uso uma vez por semana,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
451,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Mais de 4 horas por dia,Quero ter um veículo próprio 
452,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
453,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
454,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
455,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Quero ter um veículo próprio 
456,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
457,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
458,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
459,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
460,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Por ser mais confortavél 
461,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso duas vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
462,Utilizo carro ,"Sim, de carro",Não tenho,Aos domigos, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
463,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso uma vez por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 2 horas e 3 horas,Me sentir mais  seguro 
464,Utilizo o transporte público,"Sim, de uma ou mais categorias",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
465,Utilizo o transporte público,"Sim, de moto ",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
466,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
467,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
468,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Levar menos tempo 
469,Utilizo carro ,"Sim, de ônibus e vans",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Mais de 4 horas por dia,Quero ter um veículo próprio 
470,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
471,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
472,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
473,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Cartão de transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
474,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
475,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
476,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
477,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
478,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
479,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Levar menos tempo 
480,Utilizo carro ,Não tenho,Não tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
481,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
482,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
483,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
484,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
485,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso duas vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
486,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
487,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Por ser mais confortavél 
488,Utilizo o transporte público,Não tenho,Não tenho,Aos domigos,Uso uma vez por semana,Duas passagens por dia ,Gratuidade ,Lazer,Entre 30 minutos e 1 hora,Me sentir mais  seguro 
489,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Mais de 4 horas por dia,Quero ter um veículo próprio 
490,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
491,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso uma vez por semana,Duas passagens por dia ,QR code,Trabalho,Até 30 minutos,Gastar menos que com transporte público
492,Me desloco a pé ou usando bicicleta,Não tenho,Não tenho,Em feriados, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Lazer,Até 30 minutos,Comodidade pra ir a qualquer lugar a qualquer momento  
493,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
494,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
495,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Mais de 4 horas por dia,Levar menos tempo 
496,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
497,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Quero ter um veículo próprio 
498,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
499,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
500,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
501,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
502,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
503,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
504,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
505,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 3 horas e 4 horas,Quero ter um veículo próprio 
506,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
507,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 3 horas e 4 horas,Levar menos tempo 
508,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
509,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Gastar menos que com transporte público
510,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Mais de 4 horas por dia,Levar menos tempo 
511,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
512,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
513,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Levar menos tempo 
514,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
515,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
